<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20201112,204500,118.66,118.77,118.59,118.725,680088,0
AAPL.US,5,20201112,205000,118.72,119.095,118.67,119.054,1296926,0
AAPL.US,5,20201112,205500,119.06,119.18,118.97,119.07,836105,0
AAPL.US,5,20201112,210000,119.065,119.11,118.91,119.03,841089,0
AAPL.US,5,20201112,210500,119.022,119.25,118.95,119.16,998322,0
AAPL.US,5,20201112,211000,119.17,119.3,119.09,119.223,938047,0
AAPL.US,5,20201112,211500,119.225,119.47,119.145,119.332,1036563,0
AAPL.US,5,20201112,212000,119.34,119.38,119.158,119.23,804791,0
AAPL.US,5,20201112,212500,119.22,119.285,118.965,119.03,904916,0
AAPL.US,5,20201112,213000,119.03,119.22,118.94,119.16,909084,0
AAPL.US,5,20201112,213500,119.16,119.26,118.965,119.245,831671,0
AAPL.US,5,20201112,214000,119.25,119.3,119.031,119.031,787158,0
AAPL.US,5,20201112,214500,119.035,119.11,118.8,118.97,1321817,0
AAPL.US,5,20201112,215000,118.97,119.15,118.87,119.07,1134452,0
AAPL.US,5,20201112,215500,119.08,119.29,119.02,119.21,6019026,0
AAPL.US,5,20201113,153000,119.44,119.672,119.095,119.11,2763180,0
AAPL.US,5,20201113,153500,119.1,119.38,118.88,119.18,1690100,0
AAPL.US,5,20201113,154000,119.185,119.39,119.01,119.07,1114030,0
AAPL.US,5,20201113,154500,119.075,119.16,118.58,118.66,1812923,0
AAPL.US,5,20201113,155000,118.67,119.03,118.585,118.87,1353594,0
AAPL.US,5,20201113,155500,118.865,118.95,118.375,118.4,1209310,0
AAPL.US,5,20201113,160000,118.395,118.52,118.19,118.34,1354470,0
AAPL.US,5,20201113,160500,118.34,118.395,118.03,118.25,1261423,0
AAPL.US,5,20201113,161000,118.24,118.429,117.93,118.34,1209678,0
AAPL.US,5,20201113,161500,118.358,118.51,118.161,118.478,968932,0
AAPL.US,5,20201113,162000,118.461,118.56,118.37,118.5,1018037,0
AAPL.US,5,20201113,162500,118.5,118.74,118.45,118.68,904076,0
AAPL.US,5,20201113,163000,118.69,118.69,118.21,118.295,999375,0
AAPL.US,5,20201113,163500,118.295,118.37,118.09,118.16,908630,0
AAPL.US,5,20201113,164000,118.14,118.3,118.07,118.295,860117,0
AAPL.US,5,20201113,164500,118.3,118.47,118.175,118.47,777861,0
AAPL.US,5,20201113,165000,118.47,118.525,118.16,118.21,742540,0
AAPL.US,5,20201113,165500,118.218,118.23,117.87,118.022,1288661,0
AAPL.US,5,20201113,170000,118.04,118.17,117.93,117.985,789169,0
AAPL.US,5,20201113,170500,117.99,118.24,117.94,118.105,732660,0
AAPL.US,5,20201113,171000,118.105,118.24,118.03,118.214,577185,0
AAPL.US,5,20201113,171500,118.215,118.5,118.21,118.33,776105,0
AAPL.US,5,20201113,172000,118.335,118.45,118.295,118.38,485862,0
AAPL.US,5,20201113,172500,118.38,118.44,118.22,118.25,768406,0
AAPL.US,5,20201113,173000,118.25,118.29,118.03,118.045,576913,0
AAPL.US,5,20201113,173500,118.04,118.23,118,118.16,681362,0
AAPL.US,5,20201113,174000,118.15,118.48,118.14,118.37,672864,0
AAPL.US,5,20201113,174500,118.37,118.56,118.32,118.56,654675,0
AAPL.US,5,20201113,175000,118.555,118.63,118.47,118.54,600247,0
AAPL.US,5,20201113,175500,118.54,118.77,118.5,118.73,769566,0
AAPL.US,5,20201113,180000,118.73,118.8,118.69,118.75,559968,0
AAPL.US,5,20201113,180500,118.76,118.79,118.69,118.739,516598,0
AAPL.US,5,20201113,181000,118.73,118.99,118.72,118.885,867972,0
AAPL.US,5,20201113,181500,118.89,118.89,118.72,118.76,630776,0
AAPL.US,5,20201113,182000,118.76,118.78,118.62,118.65,485606,0
AAPL.US,5,20201113,182500,118.655,118.88,118.65,118.78,522209,0
AAPL.US,5,20201113,183000,118.78,118.78,118.625,118.66,525969,0
AAPL.US,5,20201113,183500,118.67,118.82,118.665,118.8,376277,0
AAPL.US,5,20201113,184000,118.797,118.92,118.79,118.825,572431,0
AAPL.US,5,20201113,184500,118.82,119.05,118.81,118.981,681981,0
AAPL.US,5,20201113,185000,118.98,118.99,118.8,118.849,529584,0
AAPL.US,5,20201113,185500,118.834,118.97,118.82,118.96,398222,0
AAPL.US,5,20201113,190000,118.96,119.06,118.92,119.055,524913,0
AAPL.US,5,20201113,190500,119.055,119.09,118.963,119.026,512398,0
AAPL.US,5,20201113,191000,119.02,119.21,118.93,119.12,757271,0
AAPL.US,5,20201113,191500,119.11,119.17,119.05,119.16,471912,0
AAPL.US,5,20201113,192000,119.155,119.255,119.03,119.111,724235,0
AAPL.US,5,20201113,192500,119.12,119.2,119,119.035,531490,0
AAPL.US,5,20201113,193000,119.034,119.07,118.93,119.01,500994,0
AAPL.US,5,20201113,193500,119.02,119.04,118.89,118.899,591922,0
AAPL.US,5,20201113,194000,118.89,118.95,118.692,118.725,693742,0
AAPL.US,5,20201113,194500,118.725,118.77,118.56,118.61,607140,0
AAPL.US,5,20201113,195000,118.61,118.68,118.547,118.589,417669,0
AAPL.US,5,20201113,195500,118.58,118.62,118.495,118.59,503429,0
AAPL.US,5,20201113,200000,118.58,118.737,118.54,118.606,592876,0
AAPL.US,5,20201113,200500,118.609,118.7,118.48,118.565,500198,0
AAPL.US,5,20201113,201000,118.565,118.57,118.24,118.33,700111,0
AAPL.US,5,20201113,201500,118.33,118.46,118.2,118.456,729536,0
AAPL.US,5,20201113,202000,118.45,118.7,118.45,118.57,798557,0
AAPL.US,5,20201113,202500,118.56,118.565,118.44,118.51,440693,0
AAPL.US,5,20201113,203000,118.501,118.6,118.49,118.49,453795,0
AAPL.US,5,20201113,203500,118.495,118.66,118.47,118.625,473730,0
AAPL.US,5,20201113,204000,118.62,118.67,118.53,118.6,454268,0
AAPL.US,5,20201113,204500,118.61,118.635,118.5,118.54,364758,0
AAPL.US,5,20201113,205000,118.54,118.65,118.54,118.63,450121,0
AAPL.US,5,20201113,205500,118.63,118.9,118.63,118.87,894177,0
AAPL.US,5,20201113,210000,118.87,118.975,118.8,118.964,633792,0
